formula,numberOfSpecies,fracActinoid,fracAlkali,fracAlkaline,fracChalcogen,fracHalogen,fracLanthanoid,fracMetalloid,fracNobleGas,fracRareEarth,fracTransitionMetal,electronsPerAtom,electronegativityRange,electronegativityStd,radiiRange,radiiStd,rowRange,rowStd,ordered,crystalSystem,pointGroup,spaceGroupNumber,volumePerSite,density,c_a
Cs1 Cu3 S2,3,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.79,0.5981,1.6,0.5412,3.0,1.0,True,trigonal,-3m,164,27.75,3.8664,0.8111
Dy2,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,True,hexagonal,6/mmm,194,31.9875,8.4357,0.6457
Ca2 Ho2 Mn4 O12,4,0.0,0.0,0.1,0.6,0.0,0.1,0.0,0.0,0.1,0.2,-0.3,2.44,1.0429,1.2,0.4982,6.0,1.833,True,orthorhombic,mm2,31,11.195,6.0945,0.7062
Co1 Ga2 S4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1429,0.0,0.77,0.3701,0.35,0.1575,1.0,0.4949,True,tetragonal,-4,82,21.0313,3.6843,0.8201
F12 K8 Mn4 O16 S4,5,0.0,0.1818,0.0,0.3636,0.2727,0.0,0.0,0.0,0.0,0.0909,-0.8182,3.16,1.1765,1.7,0.634,2.0,0.8814,True,orthorhombic,mmm,60,15.8912,2.7187,0.6789
B8 Bi16 O36,3,0.0,0.0,0.0,0.6,0.0,0.0,0.1333,0.0,0.0,0.0,0.0,1.42,0.6924,1.0,0.4301,4.0,1.7689,True,monoclinic,2/m,14,14.0326,7.9011,0.5905
Ce1 Ni2 Si2,3,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.4,-0.2,0.79,0.314,0.75,0.2739,5.0,1.8547,True,tetragonal,4/mmm,139,15.4749,6.7318,0.7264
Cl28 Nb12,2,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.3,0.8,1.56,0.7149,0.45,0.2062,2.0,0.9165,True,orthorhombic,mmm,64,25.6787,3.4072,0.8433
Mn4 O28 Rb8 V8,4,0.0,0.1667,0.0,0.5833,0.0,0.0,0.0,0.0,0.0,0.25,-0.0,2.62,1.0887,1.75,0.6511,3.0,1.2247,True,tetragonal,4/mmm,136,19.2708,3.1577,0.7263
Cs1 F3 Mg1,3,0.0,0.2,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,3.19,1.4448,2.1,0.8352,4.0,1.5492,True,cubic,m-3m,221,15.3781,4.626,1.0
Pd5 Th3,2,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.625,2.75,0.9,0.4357,0.4,0.1936,4.0,1.9365,True,hexagonal,-6m2,189,22.259,11.4532,2.2217
Sn3 Yb1,2,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,-2.25,1.96,0.8487,0.3,0.1299,3.0,1.299,True,cubic,m-3m,221,26.472,8.2984,1.0
Ca4 Fe2 N4,3,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2.04,0.9155,1.15,0.519,2.0,0.9798,True,monoclinic,2/m,12,15.4718,3.5206,0.759
